0, 100, 1183.46, 0, 4611, -345.5, 100, 857.56, 0, 1870, 178, 657.17, 100
1, 90, 1838.23, 1, 3199.5, 712.5, 90, 651.647, 1, 1933.5, 184, 807.96, 90
2, 93, 2401.33, 2, 3509.5, 1001, 93, 640.683, 2, 1414, 298.5, 807.885, 93
3, 83, 2738.7, 3, 4027.5, 1339, 83, 745.819, 3, 1927, 433.5, 875.985, 83
4, 88, 2741.86, 4, 4027.5, 964, 88, 691.199, 4, 1439, 389, 937.535, 88
5, 90, 2950.84, 5, 5631, 1085, 90, 996.028, 5, 2454.5, 255, 1025.22, 90
6, 90, 3265.16, 6, 5631, 1728.5, 90, 1135.63, 6, 2454.5, 512, 1028.41, 90
7, 83, 2866.58, 7, 4159, 1000, 83, 701.99, 7, 1345, 337.5, 851.545, 83
8, 89, 2841.14, 8, 4743, 1517.5, 89, 811.576, 8, 1973, 548.5, 958.765, 89
9, 89, 2868.62, 9, 4743, 1443, 89, 791.539, 9, 1531.5, 315, 828.855, 89
10, 91, 2933.07, 10, 5466, 1488.5, 91, 928.787, 10, 2032.5, 300.5, 894.345, 91
11, 88, 3044.65, 11, 4979.5, 1513.5, 88, 855.059, 11, 1938.5, 363, 916.47, 88
12, 94, 3208.67, 12, 5616.5, 1523, 94, 958.655, 12, 1435, 356, 860.875, 94
13, 90, 3735.74, 13, 6959.5, 1450.5, 90, 1114.67, 13, 1891.5, 420, 870.93, 90
14, 92, 3939.34, 14, 6739, 1458, 92, 1316.02, 14, 2579, 244, 958.185, 92
15, 85, 4430.57, 15, 7324.5, 2070, 85, 1429.97, 15, 2125, 396.5, 972.1, 85
16, 89, 4807.56, 16, 7324.5, 2279.5, 89, 1462.38, 16, 2125, 457.5, 1049.09, 89
17, 85, 5036.18, 17, 7722, 2189.5, 85, 1146.02, 17, 2137.5, 505, 1136.07, 85
18, 88, 5490.69, 18, 7612.5, 2274, 88, 1271.42, 18, 2592.5, 376.5, 1128.65, 88
19, 90, 6211.44, 19, 8914, 2492.5, 90, 1594.04, 19, 1990.5, 383.5, 1142.64, 90
20, 89, 5486.56, 20, 8368.5, 2075, 89, 1548.27, 20, 2237.5, 498.5, 1124.21, 89
21, 93, 5955.52, 21, 8928.5, 2932, 93, 1745.8, 21, 3266.5, 388.5, 1189.45, 93
22, 91, 5456.44, 22, 8073, 2788.5, 91, 1301.56, 22, 3266.5, 407, 1144.92, 91
23, 94, 5877.27, 23, 8709, 2527.5, 94, 1480.59, 23, 2271.5, 271, 1200.47, 94
24, 98, 5616.35, 24, 9283, 2105, 98, 1450.17, 24, 2247, 539, 1192.74, 98
25, 94, 5819.1, 25, 8776.5, 2400.5, 94, 1444.5, 25, 2679.5, 486.5, 1256.6, 94
0, 100, 3591.82, 0, 6992, 558.5, 100, 1662.24, 0, 1719, 163.5, 758.045, 100
1, 89, 5607.19, 1, 10259, 2203.5, 89, 1810.38, 1, 1952, 383.5, 1088.65, 89
2, 90, 5488.02, 2, 10259, 2713, 90, 1777.68, 2, 2404, 422.5, 1189.44, 90
