0, 150, 462.74, 0, 2723.33, -49.3333, 150, 438.702, 0, 435, 31.3333, 124.111, 150
1, 130, 1069.99, 1, 2998.33, 266.333, 130, 647.349, 1, 268.333, 58.6667, 146.993, 130
2, 138, 1359.37, 2, 2998.33, 270.667, 138, 713.853, 2, 408.333, 50.3333, 168.249, 138
3, 138, 1358.11, 3, 2998.33, 341.667, 138, 628.929, 3, 408.333, 54, 187.976, 138
4, 140, 1271.2, 4, 2644.33, 360, 140, 520.205, 4, 386.333, 53.6667, 180.038, 140
5, 140, 1473.25, 5, 2813, 314.333, 140, 623.847, 5, 349, 56.3333, 169.738, 140
6, 130, 1630.38, 6, 3115, 377.667, 130, 703.388, 6, 307, 58, 161.904, 130
7, 135, 1641.93, 7, 3194, 377, 135, 633.199, 7, 286.667, 68.3333, 168.718, 135
8, 131, 1622.89, 8, 3194, 273, 131, 685.515, 8, 441.667, 60.6667, 174.529, 131
9, 133, 1695.33, 9, 2468.67, 365.333, 133, 564.818, 9, 441.667, 61, 195.098, 133
10, 128, 1495.06, 10, 2441, 328, 128, 548.387, 10, 328.667, 50, 163.764, 128
11, 128, 1878.48, 11, 4461.33, 578, 128, 617.608, 11, 415, 64, 184.713, 128
12, 135, 1855.66, 12, 3314, 500.333, 135, 659.961, 12, 357.333, 64, 183.94, 135
13, 141, 1497.4, 13, 2537, 428.667, 141, 632.328, 13, 395.667, 51.6667, 179.487, 141
14, 135, 1635.47, 14, 3519, 495.667, 135, 580.399, 14, 307.333, 67.3333, 178.549, 135
15, 138, 1993.94, 15, 4056.67, 579, 138, 880.457, 15, 357.667, 57.3333, 212.996, 138
16, 136, 1951.35, 16, 3086.67, 582.333, 136, 685.569, 16, 455.667, 51.6667, 203.56, 136
17, 133, 2073.43, 17, 3414, 723.667, 133, 641.763, 17, 381.667, 72, 202.504, 133
18, 138, 2061.29, 18, 5419.67, 804.333, 138, 796.534, 18, 427.333, 61.3333, 203.042, 138
19, 134, 2054.33, 19, 5419.67, 682.333, 134, 584.966, 19, 489, 65.6667, 207.936, 134
20, 133, 2026.79, 20, 5419.67, 980, 133, 746.743, 20, 401.333, 60, 193.664, 133
21, 137, 1914.32, 21, 5419.67, 669, 137, 816.977, 21, 446.667, 72, 220.687, 137
22, 135, 2076.77, 22, 3711.67, 708, 135, 666.929, 22, 479, 73.6667, 208.704, 135
23, 137, 2041.83, 23, 2998.67, 680.667, 137, 519.851, 23, 381, 57.3333, 219.456, 137
24, 136, 2172.44, 24, 4556, 894, 136, 639.259, 24, 393.667, 80, 234.211, 136
25, 131, 2271.47, 25, 4556, 937.667, 131, 761.791, 25, 442.667, 86.3333, 203.184, 131
0, 150, 1335.21, 0, 3699, 18.3333, 150, 726.182, 0, 312.667, 39, 159.304, 150
1, 127, 2066.59, 1, 3984.67, 711, 127, 714.373, 1, 415.667, 66.3333, 192.487, 127
2, 134, 2549, 2, 4900.67, 866.667, 134, 885.473, 2, 375.667, 75, 188.784, 134
3, 142, 2542.21, 3, 5978, 840.667, 142, 1028.97, 3, 369.333, 74.3333, 199.118, 142
4, 136, 2752.49, 4, 5978, 865, 136, 1043.16, 4, 369.333, 76.3333, 188.678, 136
5, 136, 3018.31, 5, 4467.67, 844, 136, 951.89, 5, 381.667, 73.3333, 170.633, 136
6, 136, 3875.22, 6, 6041, 1606.67, 136, 979.8, 6, 331.333, 72, 196.667, 136
7, 141, 4223.36, 7, 11021, 990.333, 141, 2208.58, 7, 344.333, 58, 202.027, 141
8, 135, 4478.57, 8, 11021, 1205.67, 135, 2794.2, 8, 344.667, 62.3333, 218.558, 135
9, 137, 4175.04, 9, 11021, 1204.33, 137, 1825.82, 9, 392, 41, 218.502, 137
10, 133, 4050.06, 10, 6737.67, 1170.33, 133, 1152.8, 10, 392, 85.3333, 214.091, 133
11, 137, 3702.6, 11, 5477.67, 1237, 137, 982.668, 11, 391, 70, 203.704, 137
12, 134, 4038.89, 12, 7157.67, 844, 134, 1334.86, 12, 523.667, 58.3333, 217.391, 134
13, 137, 4203.18, 13, 7157.67, 1404.67, 137, 1550.41, 13, 460.333, 84.6667, 232.693, 137
14, 134, 4551.33, 14, 9069, 1067.33, 134, 1806.72, 14, 460.333, 62.6667, 225.456, 134
15, 135, 4602.4, 15, 12343, 879.667, 135, 1920.39, 15, 460.333, 59.6667, 242.958, 135
16, 137, 3939.4, 16, 10012.3, 1382.67, 137, 1634.04, 16, 425.667, 62.6667, 215.949, 137
17, 137, 4001.24, 17, 10012.3, 1109.33, 137, 1654.95, 17, 382.667, 62.6667, 215.042, 137
18, 137, 4705.7, 18, 11214.3, 1428, 137, 2259.01, 18, 382.667, 85.6667, 221.644, 137
19, 131, 4639.18, 19, 11981.7, 1422, 131, 2073.74, 19, 382.667, 87, 230.593, 131
20, 128, 4895.22, 20, 11981.7, 1307.33, 128, 2532.66, 20, 443.333, 72, 245.664, 128
21, 134, 4452.91, 21, 11981.7, 1018, 134, 2257.17, 21, 382.667, 45.3333, 205.54, 134
22, 141, 4179.81, 22, 10268, 1762.67, 141, 1436, 22, 360.667, 68, 216.913, 141
23, 133, 4820.26, 23, 9068.33, 950.333, 133, 1840.58, 23, 414.333, 65.6667, 221.431, 133
24, 138, 5250.37, 24, 11194, 1643.33, 138, 2497.88, 24, 351, 68.6667, 214.387, 138
25, 138, 4856.06, 25, 11343, 1588.33, 138, 2607.21, 25, 316.667, 73, 189.996, 138
0, 150, 2630.49, 0, 10158, 226, 150, 1654.37, 0, 324, 20.6667, 140.927, 150
1, 134, 4715.82, 1, 10800, 1773, 134, 2140.29, 1, 480, 65.6667, 218.051, 134
2, 133, 4953.68, 2, 11065.3, 2294, 133, 2156.85, 2, 412, 72, 209.604, 133
3, 131, 4838.17, 3, 8237.67, 1550, 131, 1434.09, 3, 366.333, 49.3333, 215.582, 131
4, 137, 4960.38, 4, 7957.67, 2062.67, 137, 1460.68, 4, 383.333, 92.3333, 225.66, 137
5, 137, 4713.76, 5, 8954.33, 2152.67, 137, 1446.12, 5, 372.667, 88, 212.82, 137
6, 135, 4886.02, 6, 7880.33, 2012.67, 135, 1303.08, 6, 383, 58.6667, 227.391, 135
7, 134, 4724.36, 7, 7880.33, 1780, 134, 1328.04, 7, 372.333, 58.6667, 202.433, 134
8, 128, 5688.38, 8, 16409.3, 1176.67, 128, 2530.55, 8, 356, 68.6667, 224.916, 128
9, 134, 4949.47, 9, 9573.33, 2031, 134, 1420.15, 9, 383, 90.3333, 223.1, 134
10, 130, 5171.15, 10, 9304.67, 2136.67, 130, 1524.56, 10, 425.333, 84.6667, 226.802, 130
11, 137, 4991.31, 11, 12114.7, 2142.33, 137, 1693.88, 11, 454.667, 72.3333, 216.902, 137
12, 130, 5382.68, 12, 12114.7, 1151.33, 130, 1766.32, 12, 454.667, 90.6667, 229.304, 130
13, 134, 5210.26, 13, 12114.7, 2002.33, 134, 1574.44, 13, 454.667, 68.3333, 227.989, 134
14, 137, 5631.18, 14, 12114.7, 1533, 137, 2225.04, 14, 454.667, 57.6667, 243.269, 137
15, 137, 5604.45, 15, 12743.3, 2738.33, 137, 2231.36, 15, 454.667, 103.667, 246.758, 137
16, 139, 5452.86, 16, 13928.3, 2821, 139, 2244.39, 16, 353.667, 100.667, 213.573, 139
17, 134, 4850.8, 17, 9907, 1564.33, 134, 1611.57, 17, 420.667, 106.333, 218.353, 134
18, 136, 4865.08, 18, 8218.67, 1369, 136, 1442.1, 18, 384, 91.3333, 203.547, 136
19, 125, 5279.81, 19, 10824.3, 2136.67, 125, 1874.09, 19, 326.333, 80.3333, 220.118, 125
20, 132, 5131.52, 20, 8218.67, 2222.33, 132, 1337.66, 20, 482.667, 103.667, 216.129, 132
21, 139, 4885.46, 21, 11395.3, 2109, 139, 1699.11, 21, 420, 72.3333, 205.169, 139
22, 126, 5092.34, 22, 7239, 1606.33, 126, 1251.11, 22, 381.333, 79.6667, 201.031, 126
23, 131, 5682.67, 23, 9042.67, 2319.67, 131, 1692.72, 23, 488.333, 105, 227.504, 131
24, 132, 5319.52, 24, 9042.67, 1922.33, 132, 1552.36, 24, 455.333, 65.6667, 239.838, 132
25, 132, 5793.99, 25, 9375.67, 2436.33, 132, 1527.7, 25, 399.667, 88.3333, 238.322, 132
0, 150, 2871.09, 0, 7848, 1176.67, 150, 1928.56, 0, 419.667, 66.3333, 143.671, 150
1, 133, 5154.85, 1, 7495.67, 2103.33, 133, 1198.81, 1, 336.333, 75.3333, 229.713, 133
2, 134, 5880.95, 2, 11166.3, 2422, 134, 1577.97, 2, 385.667, 91, 252.729, 134
3, 136, 6067.77, 3, 11436.3, 1826.67, 136, 2067.82, 3, 393.667, 91, 258.304, 136
4, 143, 6158.53, 4, 9751, 2841.67, 143, 1739.8, 4, 453.333, 84.3333, 248.673, 143
5, 133, 6555.36, 5, 9751, 2565, 133, 1622.04, 5, 493.333, 87.3333, 286.56, 133
6, 135, 6199.92, 6, 13351.7, 2565, 135, 1998.43, 6, 493.333, 86.6667, 261.011, 135
7, 135, 5902.69, 7, 8201.67, 2401, 135, 1360.44, 7, 493.333, 95.6667, 289.433, 135
8, 125, 6635.18, 8, 9339.33, 3301.67, 125, 1488.44, 8, 493.333, 129, 297.216, 125
9, 134, 6456.65, 9, 8933.67, 3141.33, 134, 1375.27, 9, 493.333, 74.3333, 282.858, 134
10, 134, 6592.05, 10, 14297.7, 3352.67, 134, 1925.37, 10, 493.333, 124.667, 286.531, 134
11, 144, 6250.4, 11, 10257.7, 3244.33, 144, 1450.75, 11, 417.333, 95.6667, 270.916, 144
12, 140, 6367.81, 12, 10257.7, 2678, 140, 1572.53, 12, 483.667, 82.3333, 281.364, 140
13, 128, 6462.82, 13, 10257.7, 2273, 128, 1764.76, 13, 483.667, 79.6667, 265.067, 128
14, 140, 6262.96, 14, 9489.33, 3177.67, 140, 1228.49, 14, 488.667, 122.333, 260.618, 140
15, 139, 6640.86, 15, 10848, 3351, 139, 1686.21, 15, 464.333, 109, 282.831, 139
16, 131, 6826.23, 16, 9489.33, 2932.67, 131, 1559.45, 16, 464, 101.333, 265.98, 131
17, 134, 6999.76, 17, 14383.3, 2035.67, 134, 2479.69, 17, 464.667, 64, 266.156, 134
18, 139, 6132.74, 18, 12283, 2190, 139, 1933.93, 18, 455.667, 70, 277.327, 139
19, 137, 6307.04, 19, 13213, 2623, 137, 2168.21, 19, 440.333, 100.667, 280.418, 137
20, 132, 6545.32, 20, 13213, 2805.33, 132, 2459.89, 20, 440.333, 124.333, 254.769, 132
21, 137, 6114.53, 21, 9235.67, 2874.33, 137, 1495.68, 21, 392.667, 138.333, 253.849, 137
22, 133, 6096.76, 22, 9235.67, 2484.67, 133, 1472.71, 22, 514.667, 131, 278.424, 133
23, 133, 6749.01, 23, 13916.3, 2826.67, 133, 2079.94, 23, 424.667, 119.333, 263.9, 133
24, 132, 6623.04, 24, 11165, 3379.33, 132, 1886.88, 24, 424.667, 103, 265.504, 132
25, 129, 6735.22, 25, 11165, 2323.67, 129, 1906.4, 25, 424.667, 128, 268.431, 129
0, 150, 3558.94, 0, 9109, 919, 150, 1832.6, 0, 351.667, 41.6667, 177.358, 150
1, 139, 6065.88, 1, 11400, 2259.67, 139, 1969.6, 1, 397, 101.333, 256.402, 139
2, 132, 6094.77, 2, 8955.33, 2011.67, 132, 1590.93, 2, 380.667, 65, 255.798, 132
